title,company,location,time_opened,link,applications,experience_level,job_type,role,sectors,description
Desenvolvedor,Hiper Software,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-hiper-software-3823911497?position=1&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=ZVCVSgRYYOydvFEliEScag%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Vagas para os times de tecnologia e desenvolvimento na hiper software, é necessário o currículo para se candidatar ás vagas."
Desenvolvedor MYSQL,Casa do Crédito S.A. - SCM,São Paulo e Região,Há 3 meses,https://br.linkedin.com/jobs/view/desenvolvedor-mysql-at-casa-do-cr%C3%A9dito-s-a-scm-3760170978?position=2&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=18gCxMhiwQb25IE8oyNY9A%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Sociedades de fomento mercantil - factoring,"Manipular arquivos do servidor web. Criar scripts para manipular serviços de rede de comunicação. Realizar integração entre o PHP e o SGBD MySql. Desenvolver aplicações PHP para criação, leitura, atualização e exclusão de dados. Experiência na função."
Desenvolvedor(a) Front-End,Brivia | The Creative Smartech,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-at-brivia-3798755517?position=3&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=TCKyusZhTWahzKRf6JiwHA%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Publicidade e propaganda,"Job DescriptionVaga para nosso BANCO DE TALENTOSProcuramos Desenvolvedor(a) Front-End, responsável por criar a interface de utilização de um site ou aplicação web.Somos inquietos, somos desbravadores e estamos em constante transformação.Por isso, estamos na busca constante de crescimentos do nosso time com profissionais inovadores, que desafiam os limites e estejam preparados para embarcar em uma cultura totalmente nômade.SOMOS NÔMADES, NOSSAS VAGAS SÃO PARA QUALQUER LUGAR!Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.Responsibilities And Assignments Desenvolvimento de front end com uso de HTML, CSS, JS e aplicação de Angular, React e Bootstrap;  Projetar as estruturas web, sempre pensando na experiência do usuário;  Produzir o layout do produto digital e criando interatividade entre os elementos da página ou do aplicativo. Requirements And Qualifications Conhecimento das técnicas de estilização CSS e alta proficiência em JavaScript;  Conhecer pré-compiladores CSS, saber configurar e utilizar gerenciadores de tarefas, entender conceitos de testes automatizados, integração contínua e versionamento. Additional InformationOs desbravadores tem:Horário flexível, aqui você é responsável por se organizar;Cultura ágil, aqui todos os desbravadores utilizam metodologias ágeis no dia a dia;No dress code, seja 100% você;Vale transporte;Vale refeição ou alimentação FLEX;Gympass;Plano odontológico Bradesco;Plano de saúde Amil;Seguro de vida Metlife;Bem estar psicológico gratuito;Brivia Academy, treinamentos para aperfeiçoamento;Bônus salarial;Programa de desenvolvimento de idiomas;Parceria e descontos em Universidades;Associação e descontos na ANAMID;E o melhor de todos: trabalhe de onde você quiser, somos nômades e estamos 100% em home office!SOMOS UM TIME INQUIETO E QUESTIONADOREstamos entre as melhores agências para se trabalhar no Brasil!Na Brivia, você precisa estar com a mente e o passaporte sempre abertos. Afinal, nós vamos onde nossos clientes, seus problemas e nossas soluções nos levam.Sim, temos sedes no Brasil, na America Latina e na Europa, mas acreditamos no trabalho remoto. Temos b.a.s.e em 4 estados brasileiros, mas com profissionais espalhados por mais de 10 estados. Possuímos um escritório estratégico em Lisboa, Portugal, além de escritórios no Chile, Argentina e Colômbia. Mas não temos endereço fixo. Acreditamos no trabalho remoto e na autonomia profissional para tomar decisões em busca de novos resultados. Estamos em todos os lugares!Buscamos sempre ter entre nós pessoas realizadas e valorizadas e nos esforçamos todos os dias para fazer da Brivia um lugar próspero e rico em possibilidades.Se identifica? Vem pra Brivia, vem desbravar o Digital Branding com a gente and be nômade!"
Desenvolvedor full stack jr,Devio,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-jr-at-devio-3809098562?position=4&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=5mOIxWKooCObKNAlr9zSvg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Contrato,Tecnologia da informação,Serviços de gestão estratégica,"Olá Dev.Estamos com posições em andamento aqui na DEVIO para quem é apaixonado por tecnologia!Aqui você vai:Desenvolver soluções úteis e que gerem retorno financeiro para o negócio do cliente;Atuar no desenvolvimento, manutenção e publicação de aplicações mobile;Atuar no desenvolvimento, manutenção e publicação de aplicações web;Realizar a manutenção e criação de novas funcionalidades no Front-End/Back-end;Realizar integrações de APIs de baixa a média complexidade;Atuar no desenvolvimento do Banco de dados e arquitetura das soluções.Por que vir para Devio?Oportunidade de construir processos e boas práticas junto ao timeUm time incrível formado por pessoas apaixonadas pelo que fazem, dispostas a crescer juntas e impulsionar seu desenvolvimento profissional no dia a dia;Aqui na DEVIO oferecemos para esta oportunidade:15 dias de férias remuneradasRemuneração progressivaPlano de carreiraObjetivos/metas do cargoDay off no dia do aniversárioHorários Flexíveis100% Home-OfficeVem ser Dev na DEVIO!"
Programador Web,Campanha Digital,São Paulo e Região,Há 2 meses,https://br.linkedin.com/jobs/view/programador-web-at-campanha-digital-3792572282?position=5&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=dRKI8uq2uj2Cv3MXV%2BngEw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Produtos de software de computação móvel,"Projetar, construir e otimizar interfaces dos projetos WEB Criar aplicações que abordam as fases do CVDS (ciclo de vida de desenvolvimento de sistemas) Trabalhar com Elementor e Wordpress Analisar requisitos propostos e desenvolver interfaces e funcionalidades; Desenvolver procedimentos de teste de aplicativos abrangentes ? Contribuir com evoluções arquiteturais; Atualizar aplicativos existentes para atender às normas de segurança e de funcionalidade descritas nas políticas do site da empresa Implementar ferramentas de teste que monitoram o desempenho contínuo do site da empresa Identificar gargalos e melhorias de performance em nossas páginas; Garantir que nossas telas continuem ou melhorem a responsividade. Desenvolvedor Front End pleno, com total conhecimento em Elementor e Wordpress para freela, com possibilidade de outros projetos."
Desenvolvedor Web (Brasil - Remoto),Go IT Concept,"São Paulo, SP",Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-web-brasil-remoto-at-go-it-by-ptc-group-3828683974?position=6&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=JWfNnThKMK9otbzp19TakA%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Pleno-sênior,Tempo integral,Engenharia e Tecnologia da informação,Publicação na Internet,"A GO IT Concept é uma start-up de tecnologia portuguesa sediada no interior de Portugal, na bela cidade de Seia, na Serra da Estrela. Temos escritórios em Portugal e no Brasil, para oferecer aos nossos clientes equipes especializadas em tecnologia no centro de seus negócios. Nosso objetivo é revolucionar não somente os negócios, mas também a construção de culturas que sejam afirmativas e inclusivas. A construção de uma organização diversificada e inclusiva é um processo complexo que requer a união de vários elementos. É por isso que precisamos que você venha a bordo e faça parte dessa incrível jornada.O conceito da GO IT é mais do que tecnologia, é sobre integrar trabalho e vida pessoal, é sobre ajudar o interior a crescer e prosperar, promovendo desenvolvimento local com respeito às tradições e ao estilo de vida. Essa também é uma jornada essencial.Estamos procurando por um Desenvolvedor WebQualificações necessárias:Experiência em implantação de sistemas e customização de sistemasDesejável conhecimento em negócios associados à aeroportosDesejável experiência com Desenvolvimento de Software AeroSimple ou SAIPHER(billing aeroportos)Mandatório:Modelo de trabalho: Remoto (idas pontuais ao Campo de Marte)Regime de contratação: PJO que você pode esperar da cultura da GO IT: Promovemos culturas que são afirmativas e inclusivas - recrutando os melhores engenheiros de tecnologia em todo o mundo; Promovemos a cooperação e a colaboração aprimoradas por confiança, respeito e diversidade; Somos intelectualmente curiosos - adoramos aprender, e é por isso que investimos em aprendizado e desenvolvimento; Somos feitos de empreendedores: um espaço em que qualquer funcionário pode questionar, sugerir ou compartilhar qualquer assunto ao vivo com nossa Co-fundadora e Diretora Geral; Promovemos canais de comunicação onde todos conhecem todos os colegas e sabem quem é quem; Damos feedback em tempo real, para melhorar sua jornada, e feedforward - suas habilidades futuras, preparando nossos funcionários para as possibilidades futuras na organização; Levamos a saúde mental muito a sério. Muito para lidar? Precisa se reenergizar? Fale diretamente com nossa diretora administrativa para apoiá-lo e aconselhá-lo a tirar uma folga e recarregar suas energias. Nossa diretora administrativa é uma grande incentivadora da discussão aberta de problemas de saúde mental e do apoio total; Nós celebramos cada momento de nossa jornada e somos sempre gratos por sermos quem somos; Praticamos a liderança consciente - liderança inspiradora como: Sessões de coaching e mentoring realizadas por nosso própria diretora administrativa para promover um ótimo local de trabalho e compartilhá-lo com o mundo, para que todos os nossos funcionários possam se orgulhar; Temos um programa de indicação que reconhece financeiramente nossos funcionários por ajudarem no crescimento da empresa; Criamos um novo conceito de liderança e gerenciamento - uma vez por ano, temos um momento em que as informações sobre o desempenho da empresa são compartilhadas de forma clara e cristalina e em que discutimos as perspectivas de curto prazo para o futuro; Acreditamos que grandes empresas são feitas de ideias que podem ajudar a inovar, a companhia e os negócios de nossos clientes - promovemos um momento mensal para reunir ideias e transformá-las em oportunidades de negócios; Realizamos encontros informais para promover momentos de compartilhamento de conhecimento entre nossos funcionários e a comunidade tecnológica. Adoramos bons momentos de confraternização e realizamos o maior número possível, desde reuniões temáticas mensais até eventos voltados para a família, nunca dizemos não a uma boa festa.Somos uma empresa que oferece oportunidades iguais de emprego. Todos os candidatos serão considerados para emprego sem levar em conta raça, cor, religião, sexo, orientação sexual, identidade de gênero, nacionalidade, status de veterano ou deficiência.Let´s Go for IT!To Acess ourPowered by JazzHRQ3jJW7Swrm"
Back End Developer,Rappi,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/back-end-developer-at-rappi-3826600736?position=7&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=TrcYszsbkCELibS%2FttCQJQ%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Pleno-sênior,Tempo integral,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Hey, é hora de você se juntar a nós para mostrar ao mundo que somos a empresa que está mudando paradigmas, onde revolucionamos horas, minutos e segundos! Quer saber porque o Rappi? ️⭐️ NÓS VEMOS OPORTUNIDADES onde os outros veem problemas;⭐️ ️NÓS VEMOS APROXIMIDADE onde os outros veem a distância;⭐️ NÓS VEMOS ADRENALINA onde os outros veem pressão.Junte-se a um time onde todos somos capazes de TUDO, onde todos temos as mesmas oportunidades, independentemente de gênero, raça, orientação sexual, religião, nacionalidade, idade, deficiência, treinamento ou experiência.Gostou do que leu até aqui? Agora descubra como você irá entregar magia junto conosco através da sua missão no Rappi. 🧡Estamos em busca de um(a) DESENVOLVEDOR BACKEND/FULLSTACK SÊNIOR para se juntar a nossa jornada de ajudar empreendedores a se reinventarem e crescerem utilizando nossas ferramentas e Apps!? Você terá como missão aprimorar nosso sistema atual e desenvolver novas soluções de tecnologia, com isso, melhorar a experiência e o dia a dia dos entregadores e motoristas que trabalham conosco e de quem contrata nossos serviços de entrega e transporte.Seu caminho aqui dentro e suas responsabilidadesEstamos juntos construindo novos produtos! Embora cada um tenha sua especialidade técnica, acreditamos que é importante que todos participem de forma criativa no desenvolvimento do produto e suas funcionalidades, em sintonia com o contexto dos usuários.Atividades:Entender problemas técnicos ou de negócio e desenvolver soluções através de código.Interagir com demais áreas envolvidas nos projetos, para definição das soluções e a manutenção dos sistemas.Definir e elaborar arquitetura de novos componentes ou serviços.Desenvolvimento de aplicações Web/Desktop.Implementação das funcionalidades levantadas pelo departamento de análise.Integração de Sistemas.Desenvolvimento de webservices.Manutenção em aplicações existentes.Análise de causa raiz dos problemas reportados.Sobre o nosso ambiente de trabalhoAcreditamos que a diversidade individual e cultural contribui para um ambiente construtivo.Achamos importante estarmos juntos no local de trabalho, mas respeitamos as necessidades de cada um com horários flexíveis.Não gostamos de decisões impostas e não agimos sem saber o porquê.Trabalhamos em equipe! Mesmo com as liberdades individuais, nos responsabilizamos em grupo. Gostamos de parear (pair programming), e encorajamos a participação de todos nas discussões e decisões.Buscamos ser pragmáticos, mas isso não significa que deixamos a qualidade de código de lado!Gostamos de estudar assuntos novos e sair da nossa zona de conforto. Somos apaixonados pelo que fazemos, mas isso não está acima do que é primordial: a qualidade de vida.Buscamos alguém que tenha...Sólido conhecimento em PHP e orientação a objetosLavarelTestes unitários e de integraçãoArquitetura de softwareSistemas de filas e mensageriaAPIs RestGitMicro serviçosDesign patternsPSR-1/PSR-12 e cuidados com a escrita do códigoBanco de dados não-relacionais (Mongodb, Redis, Elasticsarch)Banco de dados relacional (Mysql)DiferenciaisConhecimento em tecnologias serverlessGRPCNodejsKubernetesDockerGolangJavaApache KafkaConhecimento em Scrum e metodologias ágeisFullstackOutras informações:Salário a combinarHorário flexívelHome OfficeFormato de contratação PJPlano de saúdeSeguro de vidaO Rappi apoia diversidade e inclusão e todas as nossas oportunidades estão abertas a pessoas com deficiência (PcD)."
DESENVOLVEDOR REACT JR (VIBRA),Grupo Bandeirantes de Comunicação,"São Paulo, SP",Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-react-jr-vibra-at-grupo-bandeirantes-de-comunica%C3%A7%C3%A3o-3828674635?position=8&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=4EuWzie4taS0CdRlkNMf7A%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Assessoria em relações públicas e comunicação,"Já pensou em fazer parte da empresa que está construindo o futuro de uma das maiores redes de comunicação do país? Então este é o seu lugar! Estamos em busca de um Desenvolvedor React Jr, para atuar na Vibra Digital, spin-off de transformação digital da Rede Bandeirantes de Comunicação. Nossa missão é conhecer as pessoas e gerar conexões relevantes que promovam a transformação.Candidate-se!Responsabilidades e atribuiçõesO dia-a-dia será fazendo o seguinte:Colaborar no desenvolvimento de lógica e funcionalidade para aplicativos web e mobile, transformando requisitos de negócios em código eficiente e sustentável;Participar ativamente na implementação de componentes utilizando React, React Native e/ou Typescript;Auxiliar na manutenção da codebase, identificando oportunidades de refatoração e resolvendo problemas de produção;Apoiar o desenvolvimento de serviços back-end, contribuindo para áreas como dados, integrações e autenticação;﻿Participar de reuniões de equipe e oferecer análises e contribuições em conformidade com o conhecimento adquirido.Requisitos e qualificaçõesPara se inscrever a essa vaga, você precisa: Graduação concluída em Análise e Desenvolvimento de Sistemas, Ciência da Computação ou áreas afins;Experiência ou conhecimentos básicos em desenvolvimento com foco em React e Typescript;Comprometimento com boas práticas de desenvolvimento e disposição para padrões como SOLID, KISS, DRY e suas aplicações;Interesse em aprimorar habilidades em desenvolvimento utilizando conceitos como HOC, Hooks, Generics, Decorators e Context API;Conhecimento básico em Desenvolvimento Web, com interesse em temas como Core Web Vitals, SEO, Otimização, Cache, CDN, Sessão, Estrutura cliente x servidor, APIs REST e GraphQL.Alguns diferenciais que seriam legais encontrar em você:Conhecimento nas seguintes tecnologias: Go Lang, Python;Familiaridade com React Native ou interesse em aprender;Familiaridade com NextJS;Interesse em explorar DevOps e Cloud (Azure, AWS e/ou Google Cloud);﻿Conhecimento básico em metodologias ágeis (Scrum, Kanban).Informações adicionais"
Desenvolvedor,Stoom seu E-commerce de ponta a ponta,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-stoom-solu%C3%A7%C3%B5es-em-e-commerce-3823736645?position=9&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=Nn2yXDDyJMUOfy5dKMfE%2Bw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Vaga 100% remota n.Empresa stoom, de campinas-Sp no setor d.E-Commerce.experiência com tecnologias web html.Css.Javascript.Reactjs.Typescript.Redux.Jquery.Bootstrap.e e-Commerce, desejável conhecer conhecimento básico em arquitetura de microfrontends.Conhecimento básico de testes automatizados.Técnicas de seo.Conhecimento básico em banco de dados.Conhecimento na linguagem flutter.Noções básicas de ui/ux.Benefícios30 dias de descanso remunerado.Gympass.Descontos em diversos estabelecimentos.Day off de aniversário.Stock options.Bônus por indicação.Seguro de vida.Bônus por metas."
Desenvolvedor Front-end,H2 Club,"São Paulo, SP",Há 3 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-h2-club-3814725796?position=10&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=sv58AHwxVNMgEb1p%2B4dmbg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Pleno-sênior,Tempo integral,Engenharia e Tecnologia da informação,Segurança de redes e computadores,"Se você é um Desenvolvedor Front-end talentoso e experiente, com habilidades em Flutter e React e apaixonado por criações de interfaces impressionantes, além de desenvolver aplicativos móveis incríveis e trabalhar com tecnologias web modernas, esta pode ser a oportunidade perfeita para você!Principais AtividadesCriar interfaces de usuário altamente interativas, atraentes e responsivas, garantindo a melhor experiência para nossos usuários em várias plataformas, incluindo web e dispositivos móveis.Utilizar seus conhecimentos e habilidades em Flutter e React para desenvolver aplicativos móveis e web que atendam aos requisitos de design e funcionalidade.Trabalhar em conjunto com designers, desenvolvedores back-end e outros membros da equipe para traduzir requisitos de negócio em recursos técnicos e implementar soluções inovadoras.Integrar APIs e serviços web para garantir a funcionalidade adequada das aplicações desenvolvidas.Realizar testes funcionais e de integração para garantir a estabilidade e a qualidade do código desenvolvido, além de auxiliar na depuração de problemas.Manter e aprimorar continuamente as aplicações existentes, visando a otimização de performance e a correção de possíveis bugs.Manter-se em atualização constante sobre as tendências e melhores práticas de desenvolvimento front-end, compartilhando conhecimentos e ideias com o time.Pré-requisitosHabilidades de comunicação eficaz e trabalho em equipe.Experiência comprovada com desenvolvimento front-end, também especificamente de aplicativos móveis, utilizando Flutter e React/React NativeConhecimento em ferramentas de prototipação como Adobe XD ou FIGMA.Conhecimento sólido em linguagens de programação como JavaScript, TypeScript e Bootstrap.Domínio das tecnologias web HTML5, CSS3 e SASS.Familiaridade com gerenciadores de estado, como Redux, conhecimentos em Styled Components e componentes funcionais é um diferencial.Conhecimento de práticas de desenvolvimento responsivo e mobile-first.Capacidade de trabalhar com integração de APIs RESTful.Familiaridade com metodologias ágeis de desenvolvimento.Graduação em Ciência da Computação, Engenharia de Software ou áreas relacionadas será um diferencial. Ensino Superior CompletoVaga 100% Presencial na região de Pinheiros, São Paulo - SP.Contratação PJ"
